x,0.3971,0.3379,0.1154,0.1414,0.1423,0.1422,0.1415,0.1414,0.1414,0.1412,0.1412,0.1411,0.1411,0.141,0.1411,0.1411,0.1409,0.1409,0.1409,0.1408,0.1408,0.1408,0.1406
y,0.336,0.5556,0.3415,0.041,0.0391,0.0404,0.0399,0.0403,0.0409,0.0407,0.0408,0.0409,0.0412,0.0409,0.0411,0.0413,0.0411,0.0411,0.0413,0.0412,0.0411,0.0413,0.0415
,,,,,,,,,,,,,,,,,,,,,,,
ipRGC-Influenced Responses to Light,,,,,,,,,,,,,,,,,,,,,,,
424,0.00E+00,0.00E+00,0.00E+00,3.35E-06,6.66E-06,1.24E-05,1.76E-05,1.66E-05,1.39E-05,2.27E-05,2.56E-05,2.35E-05,2.61E-05,3.17E-05,3.59E-05,4.19E-05,4.07E-05,4.71E-05,5.49E-05,5.37E-05,5.11E-05,5.66E-05,5.71E-05
425,0.00E+00,0.00E+00,0.00E+00,3.29E-06,9.40E-06,1.52E-05,1.51E-05,2.09E-05,2.35E-05,2.58E-05,3.06E-05,3.28E-05,3.41E-05,3.91E-05,4.24E-05,4.82E-05,4.93E-05,5.02E-05,6.47E-05,6.00E-05,5.95E-05,6.40E-05,6.34E-05
426,0.00E+00,0.00E+00,0.00E+00,3.91E-06,1.26E-05,1.83E-05,2.09E-05,2.52E-05,2.80E-05,3.03E-05,3.54E-05,4.11E-05,4.31E-05,4.95E-05,5.27E-05,5.64E-05,6.34E-05,6.11E-05,7.30E-05,7.12E-05,7.30E-05,8.03E-05,8.21E-05
427,0.00E+00,0.00E+00,0.00E+00,5.49E-06,1.64E-05,1.85E-05,2.56E-05,2.85E-05,3.47E-05,3.33E-05,4.05E-05,5.01E-05,5.49E-05,5.86E-05,6.10E-05,6.68E-05,7.15E-05,7.58E-05,8.05E-05,8.60E-05,8.09E-05,8.88E-05,9.90E-05
428,0.00E+00,0.00E+00,0.00E+00,5.58E-06,1.95E-05,2.54E-05,2.94E-05,3.44E-05,4.22E-05,4.20E-05,5.05E-05,5.80E-05,5.72E-05,7.45E-05,7.23E-05,7.97E-05,8.18E-05,9.43E-05,9.58E-05,1.00E-04,1.11E-04,1.14E-04,1.17E-04
429,0.00E+00,0.00E+00,0.00E+00,6.90E-06,2.53E-05,2.90E-05,3.34E-05,4.36E-05,4.82E-05,5.60E-05,6.53E-05,6.60E-05,7.59E-05,8.24E-05,8.93E-05,9.40E-05,1.05E-04,1.06E-04,1.21E-04,1.23E-04,1.17E-04,1.22E-04,1.34E-04
430,0.00E+00,0.00E+00,0.00E+00,8.62E-06,2.85E-05,3.28E-05,4.43E-05,5.36E-05,5.80E-05,6.47E-05,7.27E-05,8.05E-05,9.02E-05,9.38E-05,1.03E-04,1.16E-04,1.22E-04,1.30E-04,1.42E-04,1.48E-04,1.41E-04,1.61E-04,1.55E-04
431,0.00E+00,0.00E+00,0.00E+00,9.94E-06,3.16E-05,4.33E-05,5.12E-05,5.84E-05,6.72E-05,7.87E-05,8.60E-05,9.73E-05,1.02E-04,1.12E-04,1.24E-04,1.39E-04,1.42E-04,1.55E-04,1.64E-04,1.72E-04,1.74E-04,1.89E-04,1.86E-04
432,0.00E+00,0.00E+00,0.00E+00,1.12E-05,3.69E-05,5.10E-05,6.12E-05,7.08E-05,7.99E-05,9.41E-05,1.08E-04,1.16E-04,1.24E-04,1.45E-04,1.48E-04,1.63E-04,1.75E-04,1.86E-04,1.93E-04,2.10E-04,2.11E-04,2.26E-04,2.24E-04
433,0.00E+00,0.00E+00,0.00E+00,1.34E-05,4.57E-05,6.27E-05,7.21E-05,8.34E-05,9.89E-05,1.15E-04,1.29E-04,1.36E-04,1.48E-04,1.70E-04,1.75E-04,1.87E-04,2.06E-04,2.11E-04,2.38E-04,2.43E-04,2.60E-04,2.69E-04,2.68E-04
